save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.25961538461539, record@279-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.84249114990234, trainAcc:86.89903846153845, record@281-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.86057692307693, record@284-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.41826923076923, record@285-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.89903846153845, record@288-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:88.70192307692307, record@289-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:88.10096153846155, record@291-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.65865384615384, record@292-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.86057692307693, record@293-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.74038461538461, record@294-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.3798076923077, record@295-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:86.89903846153845, record@296-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.3798076923077, record@298-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.65865384615384, record@301-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.86057692307693, record@304-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:88.58173076923077, record@305-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.29807692307693, record@309-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.89903846153845, record@310-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:88.64469146728516, trainAcc:86.89903846153845, record@311-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.3798076923077, record@312-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.29807692307693, record@313-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:86.29807692307693, record@314-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.65865384615384, record@315-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.89903846153845, record@317-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.53846153846155, record@318-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.74038461538461, record@320-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.010986328125, trainAcc:87.01923076923077, record@321-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.89903846153845, record@323-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.01923076923077, record@324-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:86.17788461538461, record@326-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.25961538461539, record@328-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.53846153846155, record@329-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:86.53846153846155, record@330-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.98076923076923, record@332-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.74359130859375, trainAcc:87.6201923076923, record@333-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:87.25961538461539, record@334-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:87.6201923076923, record@336-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:89.37728881835938, trainAcc:86.17788461538461, record@337-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:86.53846153846155, record@338-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.10989379882812, trainAcc:89.0625, record@340-epoch
save model:sp_ai_model_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:93.04029083251953, valAcc:90.47618865966797, trainAcc:87.6201923076923, record@341-epoch
