save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.6875, record@87-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.5921052631579, record@88-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.66118421052632, record@89-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:81.25, record@90-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.52302631578947, record@91-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.92105263157895, record@92-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:78.94736842105263, record@93-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.18092105263158, record@94-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.42763157894737, record@95-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.758453369140625, trainAcc:78.7828947368421, record@96-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.27631578947368, record@97-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:80.67434210526315, record@98-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.19407894736842, record@99-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.758453369140625, trainAcc:82.23684210526315, record@100-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.07236842105263, record@101-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:79.60526315789474, record@102-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.31907894736842, record@103-epoch
save model:uec_4Cmodel_first_stage_prun_haacc_{}_valacc{}_tracc{}_epoch_{}_{}.pt, bestAcc:87.43961334228516, valAcc:49.51690673828125, trainAcc:82.23684210526315, record@104-epoch
